start_s,end_s,duration_s,type,min_spo2,delta_spo2,peak_motion,recovery_s
0.0,0.2,0.2,rescue,85.0,0.0,0.038838365759255415,0.18000000000000002
0.22,0.4,0.18000000000000002,recovery,85.34845034143308,0.0,0.03602899212490611,0.0
1.8,2.12,0.32000000000000006,tonic,94.48044954064366,-0.05328856799705761,0.03475856269193844,0.31999999999999984
2.14,2.46,0.31999999999999984,recovery,95.79550708691568,0.0,0.03747240757120024,0.0
3.04,3.38,0.33999999999999986,tonic,98.94335386046173,0.0,0.05878063594134826,0.14000000000000012
3.4,3.54,0.14000000000000012,recovery,99.56451922279638,0.0,0.06564660319319926,0.0
4.78,4.96,0.17999999999999972,tonic,95.23200431390627,0.0,0.03460046418698943,0.15999999999999925
4.98,5.14,0.15999999999999925,recovery,93.04507240198714,-2.817664678619977,0.03469839951375311,0.0
11.12,11.46,0.34000000000000163,tonic,96.0950219430015,-0.008056129030677539,0.0359184325205777,0.16000000000000014
11.48,11.64,0.16000000000000014,recovery,96.92890384469251,0.0,0.03213967132274037,0.0
12.88,13.08,0.1999999999999993,tonic,95.5607856439858,0.0,0.0385160967893139,0.14000000000000057
13.1,13.24,0.14000000000000057,recovery,93.40644747081149,-2.201457194325215,0.03744626187780139,0.0
21.48,21.7,0.21999999999999886,tonic,96.84921987989148,0.0,0.03691290648494691,0.4200000000000017
21.72,22.14,0.4200000000000017,recovery,98.61880790255287,-0.41550226289510306,0.03462180953358543,0.0
22.78,23.14,0.35999999999999943,tonic,96.77850796225736,-0.08402716838126878,0.03560783873229284,0.14000000000000057
23.16,23.3,0.14000000000000057,recovery,98.1242029344296,0.0,0.03638420037972886,0.0
24.56,24.68,0.120000000000001,tonic,94.8620849130712,0.0,0.03255555423573508,0.17999999999999972
24.7,24.88,0.17999999999999972,recovery,93.53632151664549,-2.2603857948075756,0.03367232726642305,0.0
27.58,28.08,0.5,rescue,85.0,-1.8410597622869886,0.03550937793721599,0.13999999999999702
28.1,28.24,0.13999999999999702,recovery,85.0,0.0,0.03082802560973318,0.0
32.16,32.28,0.12000000000000455,tonic,97.17628026209076,0.0,0.03598832441842988,0.480000000000004
32.3,32.78,0.480000000000004,recovery,98.31773894459256,-0.17208707186516392,0.034532664749154576,0.0
33.4,33.78,0.38000000000000256,tonic,96.5922491600898,-0.1264397568770903,0.033306570367838885,0.14000000000000057
33.8,33.94,0.14000000000000057,recovery,98.04003975929642,0.0,0.03325144705425429,0.0
35.2,35.32,0.11999999999999744,tonic,95.0206525145409,0.0,0.03419913997431808,0.1599999999999966
35.34,35.5,0.1599999999999966,recovery,92.97056201345944,-2.6449751542847935,0.03284074931505946,0.0
43.58,43.9,0.3200000000000003,tonic,96.9247183028048,-0.12350148977078845,0.03306309495043183,0.17999999999999972
43.92,44.1,0.17999999999999972,recovery,97.56518570261404,0.0,0.030725992133630073,0.0
45.36,45.92,0.5600000000000023,tonic,96.30437920790916,-3.6956207920908355,0.03271668180302859,0.12000000000000455
45.94,46.06,0.12000000000000455,recovery,96.94407171396378,0.0,0.033233027036318634,0.0
51.66,52.04,0.38000000000000256,tonic,96.069569658415,-0.03460319888598917,0.03442074633690218,0.14000000000000057
52.06,52.2,0.14000000000000057,recovery,97.93190797129648,0.0,0.03566785640997531,0.0
61.8,61.82,0.020000000000003126,tonic,92.00868260811772,-0.18546370745116292,0.03376263900927412,0.0
61.84,62.14,0.29999999999999716,rescue,91.1088983310206,-0.7367561472999995,0.03384513376409345,0.1600000000000037
62.16,62.32,0.1600000000000037,recovery,91.5783095246068,0.0,0.06951209184638976,0.0
63.7,64.18,0.480000000000004,rescue,86.52658956036483,-0.4854221629669837,0.36349753001601853,0.0
65.58,65.72,0.14000000000000057,tonic,94.80244605002424,0.0,0.09539160841653618,0.1600000000000108
65.74,65.9,0.1600000000000108,recovery,92.45844672185588,-2.513195153376415,0.09519845003934523,0.0
73.92,74.26,0.3400000000000034,tonic,96.34595207724102,-0.034410537804490104,0.029611278673153923,0.1599999999999966
74.28,74.44,0.1599999999999966,recovery,97.84602101332923,0.0,0.028949992688198825,0.0
75.68,75.86,0.1799999999999926,tonic,94.1451115309576,0.0,0.02466912191257369,0.14000000000000057
75.88,76.02,0.14000000000000057,recovery,92.53436431418028,-2.0611052076588976,0.026019345930417152,0.0
80.22,80.86,0.6400000000000006,tonic,95.64939630777818,-2.892300606752471,0.030108586285526876,0.5799999999999983
80.88,81.46,0.5799999999999983,recovery,96.74904268752658,0.0,0.03219836752993831,0.0
82.22,82.46,0.23999999999999488,tonic,97.7458905559902,0.0,0.034783615502320085,0.4399999999999977
82.48,82.92,0.4399999999999977,recovery,99.10248365383192,-0.44797799632151225,0.033291531606902465,0.0
83.54,83.9,0.35999999999999943,tonic,96.34577301846484,-0.08565527173193743,0.02818653198369597,0.14000000000000057
83.92,84.06,0.14000000000000057,recovery,97.67180446300388,0.0,0.03160788258621557,0.0
85.3,85.48,0.18000000000000682,tonic,95.09134939838928,0.0,0.030762462527777663,0.14000000000000057
85.5,85.64,0.14000000000000057,recovery,93.11414372326688,-2.7231905618092185,0.0286955563930742,0.0
93.68,94.02,0.3399999999999892,tonic,96.24653007110864,-0.013257940533378587,0.03255335991939608,0.14000000000000057
94.04,94.18,0.14000000000000057,recovery,97.8784655113564,0.0,0.03316948457725164,0.0
95.44,95.58,0.14000000000000057,tonic,94.7264561777588,-0.0017445052089613,0.02859207322022882,0.1600000000000108
95.6,95.76,0.1600000000000108,recovery,93.3269979243104,-2.1008885043053596,0.027388554021585187,0.0
98.5,99.0,0.5,rescue,85.0,-1.2418699557703547,0.03625207416923461,0.12000000000000455
99.02,99.14,0.12000000000000455,recovery,85.75592013191036,0.0,0.033960754089526396,0.0
105.82,106.18,0.36000000000001364,tonic,96.293897703574,-0.051816876280071256,0.031196636951491656,0.1599999999999966
106.2,106.36,0.1599999999999966,recovery,97.91125529929596,0.0,0.03270438272230704,0.0
107.62,107.72,0.09999999999999432,tonic,93.83859665331254,0.0,0.030784409141221238,0.18000000000000682
107.74,107.92,0.18000000000000682,recovery,93.02367415322948,-1.8118671924879948,0.03297658061440606,0.0
113.42,113.78,0.35999999999999943,tonic,96.1291018879664,-0.017880627419316397,0.03189585310429998,0.14000000000000057
113.8,113.94,0.14000000000000057,recovery,97.72488090415244,0.0,0.029714744119795404,0.0
115.26,115.28,0.01999999999999602,tonic,94.32736690378523,0.0,0.028569827729658742,0.20000000000000284
115.3,115.5,0.20000000000000284,recovery,92.42581934313958,-2.3665433386606054,0.02887748436865159,0.0
119.0,119.34,0.3400000000000034,tonic,95.6949530676012,-0.008805238214634414,0.032458720099422064,0.14000000000000057
119.36,119.5,0.14000000000000057,recovery,97.32861998224556,0.0,0.03198760028832292,0.0
120.0,129.98,9.97999999999999,tonic,85.0,-11.895658580677633,0.1013607072185849,0.0
130.92,131.02,0.10000000000002274,tonic,94.87834805103046,0.0,0.03837970240167677,0.1599999999999966
131.04,131.2,0.1599999999999966,recovery,92.62869413948609,-2.744436531808873,0.02766848015824624,0.0
141.48,141.98,0.5,rescue,88.653022024501,-1.4552472958531837,0.04275931181839712,0.1599999999999966
142.0,142.16,0.1599999999999966,recovery,89.97924135639764,0.0,0.03207719596965712,0.0
147.56,147.74,0.18000000000000682,tonic,96.92031134953268,0.0,0.03340446256271608,0.46000000000000796
147.76,148.22,0.46000000000000796,recovery,98.64757386111104,-0.16664205278419786,0.03316352365841567,0.0
148.84,149.2,0.3599999999999852,tonic,96.6760009580364,-0.16631839453179964,0.036874480988438964,0.1599999999999966
149.22,149.38,0.1599999999999966,recovery,97.8900629668109,0.0,0.03764055379462051,0.0
150.64,150.8,0.160000000000025,tonic,93.9583439521977,-0.21510117299870046,0.03372455260453338,0.1599999999999966
150.82,150.98,0.1599999999999966,recovery,92.550385711306,-1.1167068227923522,0.03468141266409019,0.0
152.34,152.64,0.29999999999998295,rescue,90.25312274028664,-0.7403604378762765,0.03516048931939172,0.18000000000000682
152.66,152.84,0.18000000000000682,recovery,91.08573885727536,0.0,0.036755937466153424,0.0
154.18,154.32,0.13999999999998636,tonic,92.3362404564826,0.0,0.034252480747195085,0.1599999999999966
154.34,154.5,0.1599999999999966,recovery,90.82202321370042,-1.955002301770861,0.032259781851226695,0.0
161.24,161.42,0.1799999999999784,tonic,96.86316875654268,0.0,0.03882345571510926,0.4399999999999977
161.44,161.88,0.4399999999999977,recovery,98.71823611521046,0.0,0.03348652601207818,0.0
162.52,162.9,0.37999999999999545,tonic,96.5203897286208,-0.12131671364552687,0.034230935594152266,0.14000000000001478
162.92,163.06,0.14000000000001478,recovery,97.97465851421369,0.0,0.03222462423494491,0.0
164.32,164.44,0.12000000000000455,tonic,94.99573333914311,0.0,0.03167841069125295,0.1599999999999966
164.46,164.62,0.1599999999999966,recovery,92.78093378547524,-2.7980086747447217,0.02898128832669575,0.0
170.04,170.54,0.5,tonic,94.90879328657306,-5.091206713426942,0.03983343696480172,0.5600000000000023
170.56,171.12,0.5600000000000023,recovery,95.5684199486896,0.0,0.033898997193195765,0.0
171.9,172.52,0.6200000000000045,tonic,97.02918452117372,-1.9403077551301777,0.03421150337385832,0.12000000000000455
172.54,172.66,0.12000000000000455,recovery,97.89834963815082,0.0,0.03254334749959555,0.0
173.96,174.04,0.07999999999998408,tonic,94.25189432961916,0.0,0.03138467460770957,0.18000000000000682
174.06,174.24,0.18000000000000682,recovery,92.42741024140363,-2.6917706718131313,0.03211983328238823,0.0
180.0,199.98,19.97999999999999,phasic,85.0,-9.7900278332705,0.06008005333365619,0.0
203.76,203.98,0.21999999999999886,rescue,85.2699378257119,-1.7740327934134257,0.03244573295152378,0.13999999999998636
204.0,204.14,0.13999999999998636,recovery,85.61829430938306,0.0,0.0324808654112167,0.0
205.36,205.94,0.5799999999999841,tonic,94.90072645304524,-2.5808587345267284,0.0355727768676327,0.12000000000000455
205.96,206.08,0.12000000000000455,recovery,96.67612447428048,-1.4441141562937219,0.03273563334623488,0.0
214.18,214.54,0.3599999999999852,tonic,96.31436016676876,-0.05058169282669667,0.03526621035102637,0.1599999999999966
214.56,214.72,0.1599999999999966,recovery,97.9234475922374,0.0,0.03615507790834106,0.0
215.96,216.1,0.13999999999998636,tonic,96.98691215117805,0.0,0.03435772879768794,0.13999999999998636
216.12,216.26,0.13999999999998636,recovery,97.3403086121553,0.0,0.03314900099346799,0.0
217.46,217.64,0.1799999999999784,tonic,95.06876972167264,0.0,0.03387822235265281,0.14000000000001478
217.66,217.8,0.14000000000001478,recovery,92.3531987061705,-2.607017600014075,0.033793601974869955,0.0
223.32,223.58,0.2600000000000193,tonic,92.06728984172824,-3.851110717905044,0.03833736205170143,0.0
223.6,223.96,0.36000000000001364,rescue,89.89731671839596,-1.8761254287675655,0.03907394678238693,0.18000000000000682
223.98,224.16,0.18000000000000682,recovery,90.32124133499904,0.0,0.035260469267979086,0.0
227.86,228.22,0.3599999999999852,tonic,96.1435431135636,-0.03625088017372491,0.03681038925468275,0.13999999999998636
228.24,228.38,0.13999999999998636,recovery,97.80666398632404,0.0,0.035254389262722174,0.0
229.64,229.76,0.12000000000000455,tonic,94.9916356073111,0.0,0.0354654052796791,0.1599999999999966
229.78,229.94,0.1599999999999966,recovery,93.10740648931,-2.8806177077306216,0.03594158162630941,0.0
235.66,235.86,0.20000000000001705,rescue,87.20144876877077,-0.935660259346335,0.03569106342521921,0.14000000000001478
235.88,236.02,0.14000000000001478,recovery,87.60936286211341,0.0,0.03613432148222128,0.0
237.2,237.38,0.18000000000000682,tonic,94.8661459233056,0.0,0.03223360762993793,0.13999999999998636
237.4,237.54,0.13999999999998636,recovery,92.7628936266901,-2.3128025995930983,0.02911114054649669,0.0
249.36,249.54,0.1799999999999784,tonic,96.98481111597889,0.0,0.03673194384309317,0.4199999999999875
249.56,249.98,0.4199999999999875,recovery,98.83110864715069,0.0,0.03483545391816066,0.0
250.64,251.0,0.36000000000001364,tonic,96.48586043180538,-0.09789186458776555,0.03540192456292512,0.13999999999998636
251.02,251.16,0.13999999999998636,recovery,97.86518636909594,0.0,0.03613360192627605,0.0
252.42,252.56,0.14000000000001478,tonic,94.8697605719167,0.0,0.0340640152695218,0.1599999999999966
252.58,252.74,0.1599999999999966,recovery,92.42516164660712,-2.592578349859494,0.035135858949546434,0.0
259.88,259.98,0.10000000000002274,tonic,99.24194346954856,-0.6418834183066622,0.03631565119634262,0.0
260.0,269.98,9.980000000000018,rescue,86.39546464209015,-12.739527755808794,0.06778340473599137,0.0
280.52,280.88,0.36000000000001364,tonic,95.65841178583752,-0.03733807508240261,0.031966508918420594,0.1400000000000432
280.9,281.04,0.1400000000000432,recovery,97.50159123308536,0.0,0.0340397597564101,0.0
282.3,282.44,0.13999999999998636,tonic,94.7461231546185,0.0,0.03662475076834185,0.160000000000025
282.46,282.62,0.160000000000025,recovery,92.36190343874247,-2.5727659309732474,0.03324187283984738,0.0
290.66,290.98,0.3199999999999932,tonic,96.39980467714624,-0.019363017348666745,0.03545496251112404,0.160000000000025
291.0,291.16,0.160000000000025,recovery,97.78228540561427,0.0,0.032409826784598944,0.0
292.42,292.56,0.13999999999998636,tonic,96.69647296306192,0.0,0.03658381314074414,0.160000000000025
292.58,292.74,0.160000000000025,recovery,94.60826383213482,-2.8111754128095754,0.03564496890233457,0.0
295.7,296.06,0.36000000000001364,tonic,94.63276273265006,-0.8806713918708624,0.03362372713249652,0.160000000000025
296.08,296.24,0.160000000000025,recovery,94.60422253361531,0.0,0.03419720932921587,0.0
297.52,298.0,0.4800000000000182,rescue,85.0,-1.8326043138686572,0.03663774835017167,0.12000000000000455
